province_state,country_region,confirmed,deaths,recovered,active,lat,lon,date,new_confirmed,new_recovered,new_deaths,total_infect,deaths_rate,country_pop2018,perc_ctry_cnfrm,perc_ctry_rcvrd,perc_ctry_dead,perc_pop_infect,day_virus
Guangxi,China,23,0,0,0,23.8298,108.7881,2020-01-25,-4,0,0,23,0,1400812636,0.00009987,0.00000278,0.000003,0.00000164,4
Hainan,China,19,0,0,0,19.1959,109.7453,2020-01-25,-4,0,0,19,0,1400812636,0.00009987,0.00000278,0.000003,0.00000136,4
Jiangxi,China,18,0,0,0,27.614,115.7221,2020-01-25,-1,0,0,18,0,1400812636,0.00009987,0.00000278,0.000003,0.00000128,4
Fujian,China,18,0,0,0,26.0789,117.9874,2020-01-25,0,0,0,18,0,1400812636,0.00009987,0.00000278,0.000003,0.00000128,4
Jiangsu,China,18,0,1,0,32.9711,119.455,2020-01-25,0,1,0,19,0,1400812636,0.00009987,0.00000278,0.000003,0.00000136,4
Liaoning,China,17,0,0,0,41.2956,122.6085,2020-01-25,-1,-1,0,17,0,1400812636,0.00009987,0.00000278,0.000003,0.00000121,4
Shaanxi,China,15,0,0,0,35.1917,108.8701,2020-01-25,-2,0,0,15,0,1400812636,0.00009987,0.00000278,0.000003,0.00000107,4
Yunnan,China,11,0,0,0,24.974,101.487,2020-01-25,-4,0,0,11,0,1400812636,0.00009987,0.00000278,0.000003,0.00000079,4
Tianjin,China,10,0,0,0,39.3054,117.323,2020-01-25,-1,0,0,10,0,1400812636,0.00009987,0.00000278,0.000003,0.00000071,4
Heilongjiang,China,9,1,0,0,47.862,127.7615,2020-01-25,-1,0,1,10,10,1400812636,0.00009987,0.00000278,0.000003,0.00000071,4
Hebei,China,8,1,0,0,38.0428,114.5149,2020-01-25,-1,0,0,9,11.11111111111111,1400812636,0.00009987,0.00000278,0.000003,0.00000064,4
Inner Mongolia,China,7,0,0,0,44.0935,113.9448,2020-01-25,-1,0,-1,7,0,1400812636,0.00009987,0.00000278,0.000003,0.00000050,4
Shanxi,China,6,0,0,0,37.5777,112.2922,2020-01-25,-1,0,0,6,0,1400812636,0.00009987,0.00000278,0.000003,0.00000043,4
Guizhou,China,4,0,0,0,26.8154,106.8748,2020-01-25,-1,0,0,4,0,1400812636,0.00009987,0.00000278,0.000003,0.00000029,4
Jilin,China,4,0,0,0,43.6661,126.1923,2020-01-25,0,0,0,4,0,1400812636,0.00009987,0.00000278,0.000003,0.00000029,4
Gansu,China,4,0,0,0,36.0611,103.8343,2020-01-25,0,0,0,4,0,1400812636,0.00009987,0.00000278,0.000003,0.00000029,4
Ningxia,China,3,0,0,0,37.2692,106.1655,2020-01-25,-1,0,0,3,0,1400812636,0.00009987,0.00000278,0.000003,0.00000021,4
Xinjiang,China,3,0,0,0,41.1129,85.2401,2020-01-25,0,0,0,3,0,1400812636,0.00009987,0.00000278,0.000003,0.00000021,4
Qinghai,China,1,0,0,0,35.7452,95.9956,2020-01-25,-1,0,0,1,0,1400812636,0.00009987,0.00000278,0.000003,0.00000007,4
Washington,US,1,0,0,0,47.4009,-121.4905,2020-01-25,0,0,0,1,0,327274411,0.00000061,0,0,0.00000031,4
Illinois,US,1,0,0,0,40.3495,-88.9861,2020-01-25,0,0,0,1,0,327274411,0.00000061,0,0,0.00000031,4
NA,Japan,2,0,0,0,36,138,2020-01-25,1,0,0,2,0,126529100,0.00000158,0,0,0.00000158,4
NA,Thailand,7,0,0,0,15,101,2020-01-25,5,0,0,7,0,69428524,0.00001008,0,0,0.00001008,4
NA,Korea,2,0,0,0,36,128,2020-01-25,-5,0,0,2,0,77185075,0.00000259,0,0,0.00000259,4
NA,Singapore,3,0,0,0,1.2833,103.8333,2020-01-25,1,0,0,3,0,5638676,0.0000532,0,0,0.0000532,3
NA,Vietnam,2,0,0,0,16,108,2020-01-25,-1,0,0,2,0,95540395,0.00000209,0,0,0.00000209,3
NA,France,3,0,0,0,47,2,2020-01-25,1,0,0,3,0,66987244,0.00000448,0,0,0.00000448,2
Australian Capital Territory,Australia,4,0,0,0,-35.4735,149.0124,2020-01-25,1,0,0,4,0,24992369,0.000016,0,0,0.000016,2
NA,Nepal,1,0,0,0,28.1667,84.25,2020-01-25,-3,0,0,1,0,28087871,0.00000356,0,0,0.00000356,1
NA,Malaysia,3,0,0,0,2.5,112.5,2020-01-25,2,0,0,3,0,31528585,0.00000952,0,0,0.00000952,2
Hubei,China,1058,52,42,0,30.9756,112.2707,2020-01-26,1055,42,52,1152,4.513888888888888,1400812636,0.0001472,0.0000035,0.000004,0.00008224,5
Guangdong,China,111,0,2,0,23.3417,113.4244,2020-01-26,-947,-40,-52,113,0,1400812636,0.0001472,0.0000035,0.000004,0.00000807,5
Zhejiang,China,104,0,1,0,29.1832,120.0934,2020-01-26,-7,-1,0,105,0,1400812636,0.0001472,0.0000035,0.000004,0.00000750,5
